order,headline,slug,save_as,current_size,date,raw_headline
20,Skip the Trailers With This Weird Movie Timing Hack,skip-movie-trailers-trick,assets/images/blog/skip-movie-trailers-trick.png,800x420,2025-03-21,Skip the Trailers With This Weird Movie Timing Hack
21,How I Beat a Lyft Ghost Ride Scam and Got My Money Back,lyft-ghost-ride-scam,assets/images/blog/lyft-ghost-ride-scam.png,800x420,2025-01-20,How I Beat a Lyft Ghost Ride Scam and Got My Money Back
22,Sun - Spider in LEGO: Why Disability Representation in Toys Matters,sun-spider-lego,assets/images/blog/sun-spider-lego.png,800x420,2025-01-02,'Sun-Spider in LEGO: Why Disability Representation in Toys Matters'
23,Our First Thoughts on the Vision Pro,vision-pro-thoughts,assets/images/blog/vision-pro-thoughts.png,800x420,2024-12-23,Our First Thoughts on the Vision Pro
24,How PSA Grades Pokémon Cards - A Research Guide,psa-grading-research,assets/images/blog/psa-grading-research.png,800x420,2024-12-12,How PSA Grades Pokémon Cards - A Research Guide
25,What’s Coming for Coffee & Fun LLC in 2025,2025,assets/images/blog/2025.png,800x420,2024-12-12,What’s Coming for Coffee & Fun LLC in 2025
26,Welcome AutoPause - Auto pause Your Videos,autopause,assets/images/blog/autopause.png,800x420,2024-11-18,Welcome AutoPause -  Auto pause Your Videos
27,"Should You Test in Production? F*** It, Let’s Do It Live!",test-in-production,assets/images/blog/test-in-production.png,800x420,2024-11-17,"Should You Test in Production? F*** It, Let’s Do It Live! 😂"
28,What Happens When Redbox Shuts Down? Trying the Redbox Free DVD Hack,redbox,assets/images/blog/redbox.png,800x420,2024-11-09,What Happens When Redbox Shuts Down? Trying the Redbox Free DVD Hack
29,How to Ethically Hack Woobox Voting with Node.js and Puppeteer,woobox,assets/images/blog/woobox.png,800x420,2024-11-06,How to Ethically Hack Woobox Voting with Node.js and Puppeteer
30,How I would Improve the Chrome Web Store,how-i-would-improve,assets/images/blog/how-i-would-improve.png,800x420,2024-11-06,How I would Improve the Chrome Web Store
31,Introducing Hide Spoilers - Browse Without Worrying About Spoilers,hide-spoilers,assets/images/blog/hide-spoilers.png,800x420,2024-11-06,Introducing Hide Spoilers - Browse Without Worrying About Spoilers
32,How to Change the Battery in an Apple AirTag,airtag,assets/images/blog/airtag.png,800x420,2024-10-11,How to Change the Battery in an Apple AirTag
33,How to Delete or Deactivate Your Facebook Account,facebook,assets/images/blog/facebook.png,800x420,2024-10-11,How to Delete or Deactivate Your Facebook Account
34,How to Find Apple Receipts and Request a Refund,apple-refund,assets/images/blog/apple-refund.png,800x420,2024-10-11,How to Find Apple Receipts and Request a Refund
35,How to Replace the Battery in Your Nintendo Switch,switch-battery,assets/images/blog/switch-battery.png,800x420,2024-10-11,How to Replace the Battery in Your Nintendo Switch
36,ProcrastiNOT Update - The Maths Challenge is Here!,maths-update,assets/images/blog/maths-update.png,800x420,2024-10-11,ProcrastiNOT Update - The Maths Challenge is Here! 🎉
37,Cracking the Xbox One API,xbox-dvr-exploit,assets/images/blog/xbox-dvr-exploit.png,800x420,2015-12-23,'Cracking the Xbox One API'
